id,translatable_id,name,document_url,locale
69,70,"Ženeva 2006",https://www.itu.int/en/ITU-R/terrestrial/broadcast/plans/Pages/plans.aspx,cs
70,71,2013/654/EU,https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX:32013D0654&qid=1528281456147&from=CS,cs
71,72,2008/295/ES,https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX%3A32008H0295&qid=1425649860941&from=EN,cs
128,1,2004/545/EC,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX%3A32004D0545&from=EN,en
129,2,2007/90/EC,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32007D0090&qid=1528275621695&from=CS,en
130,4,2008/411/EC,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32008D0411&qid=1528279411970&from=CS,en
131,5,2008/477/EC,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32008D0477&qid=1528279503124&from=CS,en
132,3,CEPT/ECC/DEC/(04)08,https://www.ecodocdb.dk/download/3948246a-1552/ECCDEC0408.PDF,en
133,6,CEPT/ECC/DEC/(05)05,https://www.ecodocdb.dk/download/217614c9-9edd/ECCDec0505.pdf,en
134,7,2008/671/EC,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32008D0671&qid=1528279638593&from=CS,en
135,8,2009/766/EC,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32009D0766&qid=1528280130633&from=CS,en
136,9,CEPT/ERC/DEC/(97)02,https://www.ecodocdb.dk/download/cba61d6a-61b2/DEC9702E.PDF,en
137,10,2010/267/EU,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32010D0267&qid=1528280569003&from=CS,en
138,11,2010/368/EU,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32010D0368&qid=1528281543807&from=CS,en
139,12,"CEPT/ERC/REC 70-03",https://www.ecodocdb.dk/download/25c41779-cd6e/Rec7003.pdf,en
140,13,2011/829/EU,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32011D0829&qid=1528281096550&from=CS,en
141,15,91/287/EEC,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:31991L0287&qid=1528274860703&from=CS,en
142,16,CEPT/ERC/DEC/(94)03,https://www.ecodocdb.dk/download/c71a3d98-fa3c/DEC9403E.PDF,en
143,17,"CEPT T/R 22-01",https://www.ecodocdb.dk/download/2244a821-377b/TR2201E.PDF,en
144,18,CEPT/ECC/DEC/(06)08,https://www.ecodocdb.dk/download/f658b7f5-beb4/ECCDEC0608.PDF,en
145,19,"CEPT/ERC REC 70-03",https://www.ecodocdb.dk/download/25c41779-cd6e/Rec7003.pdf,en
146,20,CEPT/ECC/DEC/(01)01,https://www.ecodocdb.dk/download/bac824b1-8c23/ECCDEC0101.PDF,en
147,21,CEPT/ECC/DEC/(02)03,https://www.ecodocdb.dk/download/24f88d37-e17d/DEC0203.PDF,en
148,22,CEPT/ECC/DEC/(02)04,https://www.ecodocdb.dk/download/7f713b90-ff73/ECCDEC0204.PDF,en
149,23,CEPT/ECC/DEC/(02)05,https://www.ecodocdb.dk/download/4f7fbff8-efea/ECCDEC0205.PDF,en
150,24,"CEPT/ERC T/R 25-09",https://www.ecodocdb.dk/download/dd949e7d-98b9/TR2509E.PDF,en
151,26,CEPT/ECC/DEC/(04)06,https://www.ecodocdb.dk/download/f2300784-41f3/ECCDEC0406.PDF,en
152,27,CEPT/ECC/DEC/(05)12,https://www.ecodocdb.dk/download/89ab9c84-e8f1/ECCDEC0512.PDF,en
153,28,CEPT/ECC/DEC/(06)01,https://www.ecodocdb.dk/download/23ad06a7-bcbd/ECCDEC0601.PDF,en
154,29,CEPT/ECC/DEC/(06)02,https://www.ecodocdb.dk/download/7157816e-662d/ECCDEC0602.PDF,en
155,30,CEPT/ECC/DEC/(06)03,https://www.ecodocdb.dk/download/074336d4-f13b/ECCDEC0603.PDF,en
156,31,CEPT/ERC/DEC/(98)15,https://www.ecodocdb.dk/download/f88226c4-0784/DEC9815E.PDF,en
157,32,CEPT/ECC/DEC/(03)04,https://www.ecodocdb.dk/download/61cab614-e060/ECC%20Decision%20(03)04.pdf,en
158,33,CEPT/ECC/DEC/(05)11,https://www.ecodocdb.dk/download/ee2b6d20-a15f/ECCDEC0511.PDF,en
159,34,CEPT/ECC/DEC/(06)09,https://www.ecodocdb.dk/download/cdf6fecf-f27e/ECCDEC0609.PDF,en
160,35,2007/98/EC,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32007D0098&qid=1528275795675&from=CS,en
