id,code,sorting,created_at,updated_at
359,"Modulační spoj",,"2015-07-25 20:07:45","2015-08-06 14:03:38"
360,MoU,,"2015-07-25 20:07:45","2015-07-26 14:36:30"
361,MPEG,,"2015-07-25 20:07:45","2015-08-06 14:03:47"
362,MPR,,"2015-07-25 20:07:45","2015-08-06 14:03:52"
363,MR,,"2015-07-25 20:07:45","2015-08-14 20:26:16"
364,MRNS,,"2015-07-25 20:07:45","2015-07-26 14:32:32"
365,MRNSS,,"2015-07-25 20:07:45","2015-07-26 14:31:53"
366,MRVA,,"2015-07-25 20:07:45","2015-08-06 14:04:04"
367,MS,,"2015-07-25 20:07:45","2015-08-06 14:22:45"
368,MSA,,"2015-07-25 20:07:45","2015-08-06 14:04:33"
369,MSI,,"2015-07-25 20:07:45","2015-08-06 14:04:40"
370,MSK,,"2015-07-25 20:07:45","2015-08-06 14:04:45"
371,MSS,,"2015-07-25 20:07:45","2015-08-14 20:27:18"
372,MUF,,"2015-07-25 20:07:45","2015-07-26 14:33:54"
373,MVDS,,"2015-07-25 20:07:45","2015-08-06 14:04:56"
374,MWA,,"2015-07-25 20:07:45","2015-08-06 14:06:34"
375,MWARA,,"2015-07-25 20:07:45","2015-07-26 14:32:01"
376,MWS,,"2015-07-25 20:07:45","2015-08-06 14:05:21"
378,NASA,,"2015-07-25 20:07:45","2015-08-06 22:31:44"
379,NATO,,"2015-07-25 20:07:45","2015-08-06 14:05:43"
380,NAVTEX,,"2015-07-25 20:07:45","2015-08-14 20:28:05"
381,NBDP,,"2015-07-25 20:07:45","2015-08-06 14:06:28"
382,NDB,,"2015-07-25 20:07:45","2015-08-06 14:07:39"
383,NF,,"2015-07-25 20:07:45","2015-08-06 14:06:40"
384,NFC,,"2015-07-25 20:07:45","2015-08-06 14:06:46"
385,NGMN,,"2015-07-25 20:07:45","2015-07-26 14:31:45"
386,NJFA,,"2015-07-25 20:07:45","2015-08-06 14:06:55"
387,NKT,,"2015-07-25 20:07:45","2015-08-06 14:06:59"
388,NL,,"2015-07-25 20:07:45","2015-08-06 14:07:05"
389,NLOS,,"2015-07-25 20:07:45","2015-08-06 14:07:10"
390,NMT,,"2015-07-25 20:07:45","2015-08-06 14:07:15"
391,NOAA,,"2015-07-25 20:07:45","2015-08-06 14:07:28"
392,Non-GSO,,"2015-07-25 20:07:45","2015-08-06 14:07:34"
393,NR,,"2015-07-25 20:07:45","2015-08-06 14:08:46"
